nohup: ignoring input
OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
2026-05-13 08:43:52,217 - master_brain - INFO - Analysis complete for AUDUSD=X: HOLD (34%)
2026-05-13 08:43:52,217 - master_brain - INFO - Analyzing EURJPY=X on 1h timeframe
2026-05-13 08:43:52,217 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:52,217 - master_brain - INFO - agent4: BUY (30%)
2026-05-13 08:43:52,217 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:52,218 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:52,218 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:52,217 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:52,218 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:52,218 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:52,218 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:52,218 - master_brain - INFO - agent4: SELL (28%)
2026-05-13 08:43:52,218 - master_brain - INFO - Analysis complete for USDCHF=X: HOLD (30%)
2026-05-13 08:43:52,218 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:52,218 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:43:52,218 - master_brain - INFO - Analysis complete for USDJPY=X: HOLD (28%)
2026-05-13 08:43:52,219 - master_brain - INFO - Analyzing GBPJPY=X on 1h timeframe
2026-05-13 08:43:52,218 - master_brain - INFO - agent4: BUY (15%)
2026-05-13 08:43:52,219 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:52,219 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:52,219 - master_brain - INFO - Analysis complete for GBPUSD=X: HOLD (15%)
2026-05-13 08:43:52,219 - master_brain - INFO - Analyzing EURCHF=X on 1h timeframe
2026-05-13 08:43:52,219 - master_brain - INFO - Analyzing EURAUD=X on 1h timeframe
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for EURCHF=X (EURCHF=X) on 1h timeframe
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for GBPJPY=X (GBPJPY=X) on 1h timeframe
